,res_id,name,locality,address,timings,cuisines,average_cost_for_one,aggregate_rating,votes,scope,url,highlights,,,,,,,feature,group
178,121120,Virgin Courtyard,Chandigarh,Sector 7,10 AM to 11:30 PM (Mon-Sun),Italian,425,4.4,817,4.168441,https://images.unsplash.com/photo-1482049016688-2d3e1b311543?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=410,"['No Alcohol Available', 'Debit Card', 'Lunch', 'Cash', 'Delivery', 'Dinner', 'Takeaway Available', 'Hookah', 'Free Wifi', 'Live Music', 'Smoking Area', 'Live Sports Screening', 'Indoor Seating', 'Wheelchair Accessible', 'Digital Payments Accepted', 'Air Conditioned', 'Wifi', 'Axis Bank - Dining Delights']",,,,,,,"No Alcohol Available, Dinner, Takeaway Available",G3
179,122940,Burgrill,Chandigarh,Sector 8,10 AM to 11 PM,"Burger, Fast Food",400,4.5,249,4.163064,https://images.unsplash.com/photo-1574936145840-28808d77a0b6?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Live Sports Screening', 'Axis Bank - Dining Delights', 'Smoking Area', 'Indoor Seating', 'Air Conditioned', 'Wifi', 'Desserts and Bakes']",,,,,,,"Lunch, Delivery,Breakfast, Debit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Credit Card",G3
180,122830,Uncle Jacks,Chandigarh,Sector 8,8 AM to 10 PM (Mon-Sun),"Desserts, American",200,4,356,4.152637,https://images.unsplash.com/photo-1586999768265-24af89630739?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774,"['Cash', 'Breakfast', 'Delivery', 'Credit Card', 'Debit Card', 'No Alcohol Available', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Desserts and Bakes', 'Free Parking']",,,,,,,"Lunch, Serves Alcohol,Takeaway Available,Debit Card, Dinner, Cash, Credit Card, Nightlife,Indoor Seating,",G1
1855,18424018,The Shooters Bistro,Chandigarh,Sector 70 Mohali,8am â€“ 11pm (Mon-Sun),"Continental, North Indian",550,4.3,99,3.964611,https://images.unsplash.com/photo-1471253794676-0f039a6aae9d?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Gluten Free Options', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",,,,,,,"Lunch, Serves Alcohol,Takeaway Available,Debit Card, Dinner, Cash, Credit Card, Nightlife,Indoor Seating,",G3
181,69024,That Madras Place,Chennai,Adyar,10 AM to 11 PM,"European, Italian, Desserts",125,4.2,1810,2.583566,https://images.unsplash.com/photo-1471253794676-0f039a6aae9d?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Takeaway Available', 'Cash', 'Dinner', 'Delivery', 'No Alcohol Available', 'Lunch', 'Digital Payments Accepted', 'Indoor Seating']",,,,,,,"Lunch,Cash, Takeaway Available, Breakfast, Dinner, Credit Card, Outdoor Seating, Free Wifi, Indoor Seating, Air Conditioned, Smoking Area",G2
182,72475,Haunted,Chennai,Anna Nagar East,11 AM to 11 PM (Mon-Sun),"North Indian, Chinese, Arabian",250,3.8,519,2.632668,https://images.unsplash.com/photo-1613274554329-70f997f5789f?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=387,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned']",,,,,,,"No Alcohol Available, No Seating Available, Dinner, Takeaway Available, Lunch, Cash",G2
183,70431,Pantry dor,Chennai,Anna Nagar East,11 AM to 11 PM (Mon-Sun),"Continental, Cafe, Italian, Desserts",250,4.4,1504,3.151517,https://images.unsplash.com/photo-1522336572468-97b06e8ef143?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=876,"['Debit Card', 'Dinner', 'No Alcohol Available', 'Delivery', 'Mall Parking', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Outdoor Seating', 'Catering Available', 'Wheelchair Accessible', 'Digital Payments Accepted', 'Self Service', 'Air Conditioned']",,,,,,,"Delivery, Dinner, No Alcohol Available, Debit Card, Lunch, Takeaway Available, Credit Card, Cash, Indoor Seating",G3
184,71443,Palmshore,Chennai,Ashok Nagar,12 Noon to 10:30 PM,"North Indian, Mughlai, Chinese, South Indian",250,4.2,841,3.102352,https://images.unsplash.com/photo-1613946069412-38f7f1ff0b65?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",,,,,,,"Cash, No Alcohol Available, Debit Card, Takeaway Available, Lunch, Delivery, Dinner, Credit Card,",G3
185,73088,Chilis American Girl Bar,Chennai,Royapettah,10am â€“ 11pm (Mon-Sun),"Mexican, American, Tex-Mex, Burger",200,4.8,1262,2.876148,https://images.unsplash.com/photo-1622115837997-90c89ae689f9?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes', 'Digital Payments Accepted']",,,,,,,"Delivery, Takeaway Available, No Alcohol Available, Dinner, Lunch, Cash, Indoor Seating, Digital Payments Accepted, Pure Veg",G4
186,18423075,Writers Cafe,Chennai,Gopalapuram,10 AM to 11 PM (Mon-Sun),"Cafe, European",150,4.2,191,3.080824,https://images.unsplash.com/photo-1560624052-449f5ddf0c31?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Table booking recommended', 'Catering Available']",,,,,,,"Breakfast, Lunch, Takeaway Available, Cash, No Alcohol Available, Dinner, Pure Veg, Free Parking, Outdoor Seating",G4
187,70890,Fusilli Reasons,Chennai,Kilpauk,11 AM to 11:30 PM,Italian,150,4.6,1510,2.986657,https://images.unsplash.com/photo-1587899897387-091ebd01a6b2?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=913,"['No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Air Conditioned', 'Pure Veg', 'Indoor Seating', 'Digital Payments Accepted']",,,,,,,"Takeaway Available, Credit Card, No Alcohol Available, Cash, Debit Card, Indoor Seating",G4
188,71492,Ciclo Cafe,Chennai,Kotturpuram,11 AM to 11 PM (Mon-Sun),"Cafe, Continental",300,4.1,1004,3.150574,https://images.unsplash.com/photo-1599458448510-59aecaea4752?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Lunch', 'Debit Card', 'Credit Card', 'Takeaway Available', 'Delivery', 'No Alcohol Available', 'Dinner', 'Cash', 'Mall Parking', 'Digital Payments Accepted', 'Outdoor Seating', 'Air Conditioned', 'Self Service']",,,,,,,"No Alcohol Available, Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",G1
189,70092,Kaidi Kitchen,Chennai,Mylapore,11 AM to 11 PM,"Italian, Mexican, Chinese, Thai, North Indian",250,4,1820,3.218549,https://images.unsplash.com/photo-1560053608-13721e0d69e8?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['No Alcohol Available', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required']",,,,,,,"Cash, No Alcohol Available, No Seating Available, Breakfast, Pure Veg",G1
190,70393,Bombay Brasserie,Chennai,Nungambakkam,10:30 AM to 10:30 PM,North Indian,350,4.6,1753,3.283997,https://images.unsplash.com/photo-1606836576983-8b458e75221d?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Cash', 'Takeaway Available', 'Dinner', 'Lunch', 'Debit Card', 'Delivery', 'Pure Veg', 'Indoor Seating']",,,,,,,"Takeaway Available, Lunch,Cash, Debit Card, No Alcohol Available, Dinner, Credit Card, Delivery, Air Conditioned, Indoor Seating",G3
191,70894,Maplai,Chennai,Nungambakkam,11 AM to 11 PM,"South Indian, Chettinad",350,4.2,1714,3.278381,https://images.unsplash.com/photo-1570560258879-af7f8e1447ac?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Table Reservation Not Required']",,,,,,,"Lunch, Delivery, Credit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Live Sports Screening",G1
192,73279,Paradise,Chennai,Perungudi,11 AM to 10 PM (Mon-Sun),"Biryani, North Indian",150,3.8,1317,3.132239,https://images.unsplash.com/photo-1636405189565-4cbc66136815?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=387,"['Lunch', 'Takeaway Available', 'Cash', 'Dinner', 'No Alcohol Available', 'Outdoor Seating', 'Free Parking', 'Indoor Seating']",,,,,,,"Cash, No Alcohol Available, Takeaway Available, Breakfast, Indoor Seating, Pure Veg, Desserts and Bakes",G2
193,69951,Lamandier,Chennai,RA Puram,8am â€“ 11pm (Mon-Sun),"European, Cafe, Italian",125,4.3,1607,3.973361,https://images.unsplash.com/photo-1642567694541-c11712a88197?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=394,"['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Pure Veg']",,,,,,,"No Alcohol Available, Dinner, Cash, Takeaway Available, Breakfast, Lunch, Delivery",G4
194,72497,Palmshore,Chennai,Ramapuram,11 AM to 11 PM (Mon-Sun),"North Indian, Mughlai, Chinese, South Indian",250,4.4,645,3.981943,https://images.unsplash.com/photo-1580196515879-2d99ad7fd767?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8NjR8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Dinner', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Air Conditioned', 'Free Parking', 'Table booking recommended', 'Indoor Seating']",,,,,,,"Lunch, Cash, No Alcohol Available, Credit Card, Debit Card",G1
195,65413,Palmshore,Chennai,Santhome,10 AM to 10 PM (Mon-Sun),"North Indian, Mughlai, Chinese, South Indian",200,4.3,742,3.985013,https://images.unsplash.com/photo-1601065700897-d9fa1c093f3e?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8ODN8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Credit Card', 'Cash', 'Dinner', 'Delivery', 'Takeaway Available', 'No Alcohol Available', 'Debit Card', 'Lunch', 'Indoor Seating', 'Air Conditioned']",,,,,,,"Cash, Takeaway Available, Dinner, Delivery, No Alcohol Available, Lunch, Indoor Seating, Air Conditioned",G2
196,70497,Basil With A Twist,Chennai,T Nagar,9 AM to 11 PM,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",100,4.5,1210,3.900583,https://images.unsplash.com/photo-1569096651661-820d0de8b4ab?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8ODF8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['No Seating Available', 'Delivery', 'Dinner', 'Breakfast', 'Takeaway Available', 'Cash', 'Lunch']",,,,,,,"Dinner, Delivery, Cash, Lunch, No Alcohol Available, Takeaway Available, Digital Payments Accepted, Air Conditioned",G3
197,65055,Barbeque Nation,Chennai,T Nagar,1 PM to 10:30 PM (Mon-Sun),"North Indian, Continental",300,4.4,3848,3.983758,https://images.unsplash.com/photo-1571168136613-46401b03904e?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8OTF8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['No Alcohol Available', 'Dinner', 'Delivery', 'Lunch', 'Cash', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended']",,,,,,,"Lunch, Cash, Takeaway Available, Credit Card, Debit Card, Dinner, Delivery, Breakfast",G3
198,18384227,ABs-Absolute Barbecues,Chennai,T Nagar,11 AM to 11 PM,"North Indian, European, Mediterranean",275,4.9,859,4.158869,https://images.unsplash.com/photo-1567745219000-b99afacf5ef6?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8ODR8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Lunch', 'Debit Card', 'Delivery', 'Cash', 'Takeaway Available', 'No Alcohol Available', 'Credit Card', 'Dinner', 'Mall Parking', 'Air Conditioned', 'Digital Payments Accepted', 'Indoor Seating', 'Desserts and Bakes']",,,,,,,"Lunch, Cash, Takeaway Available, Credit Card, No Alcohol Available, Dinner, Delivery",G4
199,72604,Coal Barbecues,Chennai,Velachery,11am â€“ 11:30pm (Mon-Sun),"North Indian, Mediterranean, Asian, Arabian",175,4.6,1267,4.069127,https://images.unsplash.com/photo-1606066352252-93e4d325787b?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8OTN8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Dinner', 'Delivery', 'Cash', 'Lunch', 'No Alcohol Available', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned', 'Table booking recommended', 'Self Service']",,,,,,,"Cash, Takeaway Available, Credit Card, Debit Card, Lunch, Delivery, Breakfast, No Alcohol Available",G2
200,66457,Pind,Chennai,Velachery,11:30 AM to 11 PM,"North Indian, Chinese",150,4,2272,3.550004,https://images.unsplash.com/photo-1564759224907-65b945ff0e84?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8OTB8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'No Seating Available', 'Lunch']",,,,,,,"Delivery, Dinner, Cash, Credit Card, Lunch, Takeaway Available,Debit Card, Live Sports Screening",G1
201,18260777,Kuchi n Kream,Coimbatore,Gandhipuram,7:45am â€“ 11pm (Mon-Sun),"Cafe, Continental, Fast Food",500,4.6,202,4.041898,https://images.unsplash.com/photo-1602956033956-003e7180d339?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8OTl8fHJlc3RhdXJhbnR8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Table booking recommended', 'Air Conditioned', 'Indoor Seating', 'Free Wifi', 'Digital Payments Accepted']",,,,,,,"Dinner, Takeaway Available, No Alcohol Available, Lunch, Cash, Breakfast, Indoor Seating",G1
202,3000107,Haribhavanam Hotel,Coimbatore,Peelamedu,10:30am â€“ 12midnight (Mon-Sun),"South Indian, Chettinad, North Indian",100,3.9,318,4.054616,https://images.unsplash.com/photo-1463797221720-6b07e6426c24?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTN8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",,,,,,,"Dinner, Cash, Credit Card, Debit Card, Lunch, Takeaway Available, Indoor Seating",G4
203,3000132,Kites Cafe,Coimbatore,Peelamedu,4pm â€“ 1am (Mon-Sun),Cafe,500,3.8,124,4.152256,https://images.unsplash.com/photo-1445116572660-236099ec97a0?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8N3x8Y2FmZXxlbnwwfHwwfHw%3D&auto=format&fit=crop&w=600,"['Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Live Sports Screening', 'Indoor Seating', 'Above 18 Only', 'Digital Payments Accepted', 'Wheelchair Accessible', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned', 'Smoking Area']",,,,,,,"No Alcohol Available, Dinner, Takeaway Available",G3
204,3000122,Zucca Pizzeria,Coimbatore,Peelamedu,"11am â€“ 10:30pm (Mon, Tue, Wed, Fri, Sat, Sun), 11:01am â€“ 10:30pm (Thu)",Pizza,150,3.5,274,4.066502,https://images.unsplash.com/photo-1600093463592-8e36ae95ef56?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MjZ8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Cash', 'Delivery', 'No Alcohol Available', 'Lunch', 'Takeaway Available', 'Dinner', 'Pure Veg', 'Indoor Seating']",,,,,,,"Lunch, Delivery,Breakfast, Debit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Credit Card",G2
205,3001032,Burger Ka Baap,Coimbatore,Peelamedu,12 Noon to 11:30 PM,Fast Food,500,4.3,147,3.985613,https://images.unsplash.com/photo-1521917441209-e886f0404a7b?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8Mjh8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Takeaway Available', 'Lunch', 'Credit Card', 'Delivery', 'Mall Parking', 'Debit Card', 'Cash', 'Dinner', 'Serves Alcohol', 'Digital Payments Accepted', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned']",,,,,,,"Lunch, Serves Alcohol,Takeaway Available,Debit Card, Dinner, Cash, Credit Card, Nightlife,Indoor Seating,",G2
206,3000021,The Cascade Restaurant,Coimbatore,Peelamedu,11 AM to 11 PM,Chinese,175,4.1,243,3.98492,https://images.unsplash.com/photo-1616091216791-a5360b5fc78a?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MzJ8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Cash', 'Lunch', 'No Alcohol Available', 'Debit Card', 'Takeaway Available', 'Delivery', 'Dinner', 'Credit Card', 'Indoor Seating', 'Free Parking', 'Air Conditioned', 'Digital Payments Accepted']",,,,,,,"Lunch,Cash, Takeaway Available, Breakfast, Dinner, Credit Card, Outdoor Seating, Free Wifi, Indoor Seating, Air Conditioned, Smoking Area",G1
207,18434000,24 Plus Cafe Restaurant,Coimbatore,Podanur,"12 Noon to 4 PM, 7 PM to 11 PM","Continental, Fast Food, Desserts, Indian",300,3.8,24,4.16051,https://images.unsplash.com/photo-1493857671505-72967e2e2760?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MzN8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Credit Card', 'Lunch', 'Cash', 'Delivery', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Smoking Area']",,,,,,,"No Alcohol Available, No Seating Available, Dinner, Takeaway Available, Lunch, Cash",G1
208,3000195,Valarmathi Kongunaatu Samayal,Coimbatore,Race Course,11 AM to 11 PM,"South Indian, Biryani",250,4.5,380,4.146492,https://images.unsplash.com/photo-1507133750040-4a8f57021571?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8Mzl8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Cash', 'Takeaway Available', 'Lunch', 'No Alcohol Available', 'Dinner', 'Indoor Seating']",,,,,,,"Delivery, Dinner, No Alcohol Available, Debit Card, Lunch, Takeaway Available, Credit Card, Cash, Indoor Seating",G3
209,3000126,Bird On Tree,Coimbatore,Race Course,8 AM to 10:30 PM (Mon-Sun),"Continental, Chinese, Thai, Malaysian, North Indian",200,3.8,221,4.142448,https://images.unsplash.com/photo-1558082206-1a725a3ea42c?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8Njl8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['No Alcohol Available', 'Delivery', 'Breakfast', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Free Parking', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes', 'Indoor Seating', 'Digital Payments Accepted']",,,,,,,"Cash, No Alcohol Available, Debit Card, Takeaway Available, Lunch, Delivery, Dinner, Credit Card,",G4
210,18280306,Tims Bistro,Coimbatore,Race Course,11 AM to 11 PM,"North Indian, Continental",150,3.9,85,3.900747,https://images.unsplash.com/photo-1577056922428-a511301a562d?ixlib=rb-1.2.1&raw_url=true&q=60&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxzZWFyY2h8NzR8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Dinner', 'Delivery', 'No Alcohol Available', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",,,,,,,"Delivery, Takeaway Available, No Alcohol Available, Dinner, Lunch, Cash, Indoor Seating, Digital Payments Accepted, Pure Veg",G3
211,3001489,Batlivala Khanabhoy,Coimbatore,Race Course,10 AM to 11 PM (Mon-Sun),"Parsi, North Indian",250,4.2,40,3.983107,https://images.unsplash.com/photo-1549650558-105451f863ca?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8Nzd8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned']",,,,,,,"Breakfast, Lunch, Takeaway Available, Cash, No Alcohol Available, Dinner, Pure Veg, Free Parking, Outdoor Seating",G1
212,3000770,Cafe Totaram,Coimbatore,Race Course,12:30 PM to 10 PM,"Cafe, Fast Food",225,4,132,3.741691,https://images.unsplash.com/photo-1560463230-1d6803589edf?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8Nzh8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['No Alcohol Available', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Sodexo', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Wheelchair Accessible']",,,,,,,"Takeaway Available, Credit Card, No Alcohol Available, Cash, Debit Card, Indoor Seating",G2
213,3000062,Cream Centre,Coimbatore,Race Course,12 Noon to 12 Midnight (Mon-Sun),"North Indian, Chinese, Italian, Mexican",225,4,203,3.987157,https://images.unsplash.com/photo-1580866490076-7f49e396e4de?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=60&raw_url=true&ixid=MnwxMjA3fDB8MHxzZWFyY2h8OTN8fGNhZmV8ZW58MHx8MHx8&auto=format&fit=crop&w=600,"['Cash', 'No Alcohol Available', 'Lunch', 'Takeaway Available', 'Dinner', 'Outdoor Seating', 'Indoor Seating', 'Pure Veg']",,,,,,,"No Alcohol Available, Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",G4
