,res_id,name,locality,address,timings,cuisines,average_cost_for_one,aggregate_rating,votes,scope,url,highlights,,,,,,,feature,group
11,3400019,Dasaprakash Restaurant,Agra,Rakabganj,7 AM to 7:30 PM,"South Indian, Desserts",25,4.1,121,4.178894,https://images.unsplash.com/photo-1508424757105-b6d5ad9329d0?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['Breakfast', 'Lunch', 'Takeaway Available', 'Cash', 'No Alcohol Available', 'Dinner', 'Pure Veg', 'Free Parking', 'Outdoor Seating']",,,,,,,"Breakfast, Lunch, Takeaway Available, Cash, No Alcohol Available, Dinner, Pure Veg, Free Parking, Outdoor Seating",G1
13,3400346,Sheroes Hangout,Agra,Tajganj,12 Noon to 11 PM,"Cafe, North Indian, Chinese",150,4.9,77,4.532003,https://images.unsplash.com/photo-1585518419759-7fe2e0fbf8a6?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=724,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating']",,,,,,,"No Alcohol Available, Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",G4
14,3400350,Bon Barbecue,Agra,Tajganj,7 AM to 7 PM (Mon-Sun),"North Indian, Chinese, Continental",25,3.8,57,4.721388,https://images.unsplash.com/photo-1467003909585-2f8a72700288?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=387,"['Cash', 'No Alcohol Available', 'No Seating Available', 'Breakfast', 'Pure Veg']",,,,,,,"Cash, No Alcohol Available, No Seating Available, Breakfast, Pure Veg",G3
15,3400391,Chapter 1 Cafe,Agra,Tajganj,10:57 AM to 12 Midnight,"Cafe, Italian, Mexican, North Indian, Continental",200,3.9,98,3.808024,https://images.unsplash.com/photo-1544148103-0773bf10d330?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Takeaway Available', 'Lunch', 'Cash', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Delivery', 'Air Conditioned', 'Indoor Seating']",,,,,,,"Takeaway Available, Lunch,Cash, Debit Card, No Alcohol Available, Dinner, Credit Card, Delivery, Air Conditioned, Indoor Seating",G3
16,3400016,Pind Balluchi,Agra,Tajganj,11 AM to 11 PM (Mon-Sun),"North Indian, Mughlai",500,3.7,175,4.478213,https://images.unsplash.com/photo-1482049016688-2d3e1b311543?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=410,"['Lunch', 'Delivery', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Valet Parking Available', 'Digital Payments Accepted']",,,,,,,"Lunch, Delivery, Credit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Live Sports Screening",G1
17,3400105,Pizza Hut,Agra,Tajganj,6 AM to 10 PM (Mon-Sun),"Italian, Pizza",100,4.4,134,3.989629,https://images.unsplash.com/photo-1574936145840-28808d77a0b6?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435,"['Cash', 'No Alcohol Available', 'Takeaway Available', 'Breakfast', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes']",,,,,,,"Cash, No Alcohol Available, Takeaway Available, Breakfast, Indoor Seating, Pure Veg, Desserts and Bakes",G2
18,3400326,Tease Me-Rooftop Café,Agra,Tajganj,"8 AM to 5 PM, 6 PM to 11:30 PM","Chinese, Italian, Continental, North Indian",275,4.2,166,4.271234,https://images.unsplash.com/photo-1586999768265-24af89630739?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774,"['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Delivery', 'Free Parking', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes']",,,,,,,"No Alcohol Available, Dinner, Cash, Takeaway Available, Breakfast, Lunch, Delivery",G2
19,3400392,Thaaliwala,Agra,Tajganj,"10am â€“ 10pm (Mon-Fri),10am â€“ 10:30pm (Sat-Sun)","North Indian, Fast Food",200,4.1,168,4.363269,https://images.unsplash.com/photo-1471253794676-0f039a6aae9d?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870,"['Lunch', 'Cash', 'No Alcohol Available', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'Desserts and Bakes', 'Outdoor Seating', 'Gluten Free Options', 'Air Conditioned', 'Indoor Seating']",,,,,,,"Lunch, Cash, No Alcohol Available, Credit Card, Debit Card",G3
20,111895,650-The Global Kitchen,Ahmedabad,Ambavadi,1 PM to 10:30 PM (Mon-Sun),"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",300,4.2,1582,4.666458,https://images.unsplash.com/photo-1613274554329-70f997f5789f?ixlib=rb-1.2.1&raw_url=true&q=80&fm=jpg&crop=entropy&cs=tinysrgb&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=387,"['Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'No Alcohol Available', 'Lunch', 'Indoor Seating', 'Air Conditioned']",,,,,,,"Cash, Takeaway Available, Dinner, Delivery, No Alcohol Available, Lunch, Indoor Seating, Air Conditioned",G3
21,110502,Patang-The Revolving Restaurant,Ahmedabad,Ashram Road,11 AM to 11 PM (Mon-Sun),"Continental, Chinese, North Indian",300,3.7,1315,4.265481,https://images.unsplash.com/photo-1522336572468-97b06e8ef143?crop=entropy&cs=tinysrgb&fm=jpg&ixlib=rb-1.2.1&q=80&raw_url=true&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=876,"['Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Free Parking', 'Kid Friendly', 'Indoor Seating', 'Air Conditioned']",,,,,,,"Dinner, Delivery, Cash, Lunch, No Alcohol Available, Takeaway Available, Digital Payments Accepted, Air Conditioned",G4
